Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1875,50,2020.04.12,1875,50,0.00272,7.3e-05,0.0027192,7.25e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
1955,52,2020.04.13,80,2,0.00284,7.5e-05,0.000116,2.9e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2058,67,2020.04.14,103,15,0.00298,9.7e-05,0.0001494,2.18e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2197,72,2020.04.15,139,5,0.00319,0.000104,0.0002016,7.3e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2350,81,2020.04.16,153,9,0.00341,0.000117,0.0002219,1.31e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2476,86,2020.04.17,126,5,0.00359,0.000125,0.0001827,7.3e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2666,91,2020.04.18,190,5,0.00387,0.000132,0.0002755,7.3e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2793,96,2020.04.19,127,5,0.00405,0.000139,0.0001842,7.3e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
2927,105,2020.04.20,134,9,0.00424,0.000152,0.0001943,1.31e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3098,112,2020.04.21,171,7,0.00449,0.000162,0.000248,1.02e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3206,127,2020.04.22,108,15,0.00465,0.000184,0.0001566,2.18e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3361,139,2020.04.23,155,12,0.00487,0.000202,0.0002248,1.74e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3528,153,2020.04.24,167,14,0.00512,0.000222,0.0002422,2.03e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3699,165,2020.04.25,171,12,0.00536,0.000239,0.000248,1.74e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3841,178,2020.04.26,142,13,0.00557,0.000258,0.0002059,1.89e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3892,185,2020.04.27,51,7,0.00564,0.000268,7.4e-05,1.02e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
3994,190,2020.04.28,102,5,0.00579,0.000276,0.0001479,7.3e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
4106,205,2020.04.29,112,15,0.00595,0.000297,0.0001624,2.18e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
4323,224,2020.04.30,217,19,0.00627,0.000325,0.0003147,2.76e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
4658,231,2020.05.01,335,7,0.00676,0.000335,0.0004858,1.02e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
4797,240,2020.05.02,139,9,0.00696,0.000348,0.0002016,1.31e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5016,251,2020.05.03,219,11,0.00727,0.000364,0.0003176,1.6e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5170,258,2020.05.04,154,7,0.0075,0.000374,0.0002233,1.02e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5322,264,2020.05.05,152,6,0.00772,0.000383,0.0002204,8.7e-06,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5461,277,2020.05.06,139,13,0.00792,0.000402,0.0002016,1.89e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5654,285,2020.05.07,193,8,0.0082,0.000413,0.0002799,1.16e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
5899,304,2020.05.08,245,19,0.00855,0.000441,0.0003553,2.76e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
6102,311,2020.05.09,203,7,0.00885,0.000451,0.0002944,1.02e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
6272,323,2020.05.10,170,12,0.0091,0.000468,0.0002465,1.74e-05,92266,689545,158,District of Columbia,Democratic,District of Columbia,District of Columbia,4364.2
