Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1245,26,2020.04.12,1245,26,0.00059,1.2e-05,0.000588,1.23e-05,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1262,26,2020.04.13,17,0,0.0006,1.2e-05,8e-06,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1345,31,2020.04.14,83,5,0.00064,1.5e-05,3.92e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1484,36,2020.04.15,139,5,0.0007,1.7e-05,6.56e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1484,36,2020.04.16,0,0,0.0007,1.7e-05,0.0,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1597,44,2020.04.17,113,8,0.00075,2.1e-05,5.34e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1798,53,2020.04.18,201,9,0.00085,2.5e-05,9.49e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1845,55,2020.04.19,47,2,0.00087,2.6e-05,2.22e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1971,58,2020.04.20,126,3,0.00093,2.7e-05,5.95e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
1971,58,2020.04.21,0,0,0.00093,2.7e-05,0.0,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2210,71,2020.04.22,239,13,0.00104,3.4e-05,0.0001129,6.1e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2379,78,2020.04.23,169,7,0.00112,3.7e-05,7.98e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2521,84,2020.04.24,142,6,0.00119,4e-05,6.71e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2660,93,2020.04.25,139,9,0.00126,4.4e-05,6.56e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2726,99,2020.04.26,66,6,0.00129,4.7e-05,3.12e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2825,99,2020.04.27,99,0,0.00133,4.7e-05,4.68e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
2974,105,2020.04.28,149,6,0.0014,5e-05,7.04e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
3213,112,2020.04.29,239,7,0.00152,5.3e-05,0.0001129,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
3411,123,2020.04.30,198,11,0.00161,5.8e-05,9.35e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
3513,131,2020.05.01,102,8,0.00166,6.2e-05,4.82e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
3732,138,2020.05.02,219,7,0.00176,6.5e-05,0.0001034,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
3850,151,2020.05.03,118,13,0.00182,7.1e-05,5.57e-05,6.1e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4031,156,2020.05.04,181,5,0.0019,7.4e-05,8.55e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4138,162,2020.05.05,107,6,0.00195,7.7e-05,5.05e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4291,169,2020.05.06,153,7,0.00203,8e-05,7.23e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4493,172,2020.05.07,202,3,0.00212,8.1e-05,9.54e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4673,181,2020.05.08,180,9,0.00221,8.5e-05,8.5e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4778,191,2020.05.09,105,10,0.00226,9e-05,4.96e-05,4.7e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
4863,200,2020.05.10,85,9,0.0023,9.4e-05,4.01e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5069,208,2020.05.11,206,8,0.00239,9.8e-05,9.73e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5212,219,2020.05.12,143,11,0.00246,0.000103,6.75e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5364,231,2020.05.13,152,12,0.00253,0.000109,7.18e-05,5.7e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5503,242,2020.05.14,139,11,0.0026,0.000114,6.56e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5662,253,2020.05.15,159,11,0.00267,0.000119,7.51e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5847,259,2020.05.16,185,6,0.00276,0.000122,8.74e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
5938,265,2020.05.17,91,6,0.0028,0.000125,4.3e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6096,270,2020.05.18,158,5,0.00288,0.000128,7.46e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6192,276,2020.05.19,96,6,0.00292,0.00013,4.53e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6317,283,2020.05.20,125,7,0.00298,0.000134,5.9e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6472,294,2020.05.21,155,11,0.00306,0.000139,7.32e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6625,302,2020.05.22,153,8,0.00313,0.000143,7.23e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6625,302,2020.05.23,0,0,0.00313,0.000143,0.0,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
6943,317,2020.05.24,318,15,0.00328,0.00015,0.0001502,7.1e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7026,320,2020.05.25,83,3,0.00332,0.000151,3.92e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7130,325,2020.05.26,104,5,0.00337,0.000153,4.91e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7252,329,2020.05.27,122,4,0.00342,0.000155,5.76e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7364,335,2020.05.28,112,6,0.00348,0.000158,5.29e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7493,344,2020.05.29,129,9,0.00354,0.000162,6.09e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7624,351,2020.05.30,131,7,0.0036,0.000166,6.19e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7689,356,2020.05.31,65,5,0.00363,0.000168,3.07e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
7800,362,2020.06.01,111,6,0.00368,0.000171,5.24e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8024,367,2020.06.02,224,5,0.00379,0.000173,0.0001058,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8140,375,2020.06.03,116,8,0.00384,0.000177,5.48e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8353,383,2020.06.04,213,8,0.00394,0.000181,0.0001006,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8672,387,2020.06.05,319,4,0.0041,0.000183,0.0001506,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8800,392,2020.06.06,128,5,0.00416,0.000185,6.04e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
8940,396,2020.06.07,140,4,0.00422,0.000187,6.61e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9062,400,2020.06.08,122,4,0.00428,0.000189,5.76e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9105,404,2020.06.09,43,4,0.0043,0.000191,2.03e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9250,410,2020.06.10,145,6,0.00437,0.000194,6.85e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9367,420,2020.06.11,117,10,0.00442,0.000198,5.53e-05,4.7e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9526,420,2020.06.12,159,0,0.0045,0.000198,7.51e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9621,431,2020.06.13,95,11,0.00454,0.000204,4.49e-05,5.2e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9723,435,2020.06.14,102,4,0.00459,0.000205,4.82e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9845,440,2020.06.15,122,5,0.00465,0.000208,5.76e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
9933,447,2020.06.16,88,7,0.00469,0.000211,4.16e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10065,452,2020.06.17,132,5,0.00475,0.000213,6.23e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10153,456,2020.06.18,88,4,0.00479,0.000215,4.16e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10260,464,2020.06.19,107,8,0.00485,0.000219,5.05e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10430,466,2020.06.20,170,2,0.00493,0.00022,8.03e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10565,469,2020.06.21,135,3,0.00499,0.000221,6.38e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10694,469,2020.06.22,129,0,0.00505,0.000221,6.09e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10838,476,2020.06.23,144,7,0.00512,0.000225,6.8e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
10990,480,2020.06.24,152,4,0.00519,0.000227,7.18e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
11192,485,2020.06.25,202,5,0.00529,0.000229,9.54e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
11408,489,2020.06.26,216,4,0.00539,0.000231,0.000102,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
11619,491,2020.06.27,211,2,0.00549,0.000232,9.96e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
11809,492,2020.06.28,190,1,0.00558,0.000232,8.97e-05,5e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
11982,493,2020.06.29,173,1,0.00566,0.000233,8.17e-05,5e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
12147,497,2020.06.30,165,4,0.00574,0.000235,7.79e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
12276,500,2020.07.01,129,3,0.0058,0.000236,6.09e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
12520,503,2020.07.02,244,3,0.00591,0.000238,0.0001152,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
12776,511,2020.07.03,256,8,0.00603,0.000241,0.0001209,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
13063,513,2020.07.04,287,2,0.00617,0.000242,0.0001355,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
13256,513,2020.07.05,193,0,0.00626,0.000242,9.11e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
13507,515,2020.07.06,251,2,0.00638,0.000243,0.0001185,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
13727,519,2020.07.07,220,4,0.00648,0.000245,0.0001039,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
14017,527,2020.07.08,290,8,0.00662,0.000249,0.000137,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
14251,533,2020.07.09,234,6,0.00673,0.000252,0.0001105,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
14549,539,2020.07.10,298,6,0.00687,0.000255,0.0001407,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
14773,543,2020.07.11,224,4,0.00698,0.000256,0.0001058,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
15028,545,2020.07.12,255,2,0.0071,0.000257,0.0001204,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
15291,548,2020.07.13,263,3,0.00722,0.000259,0.0001242,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
15514,551,2020.07.14,223,3,0.00733,0.00026,0.0001053,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
15841,557,2020.07.15,327,6,0.00748,0.000263,0.0001544,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
16138,562,2020.07.16,297,5,0.00762,0.000265,0.0001403,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
16456,565,2020.07.17,318,3,0.00777,0.000267,0.0001502,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
16736,569,2020.07.18,280,4,0.0079,0.000269,0.0001322,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
16971,571,2020.07.19,235,2,0.00801,0.00027,0.000111,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
17215,578,2020.07.20,244,7,0.00813,0.000273,0.0001152,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
17517,588,2020.07.21,302,10,0.00827,0.000278,0.0001426,4.7e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
17828,591,2020.07.22,311,3,0.00842,0.000279,0.0001469,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
18163,596,2020.07.23,335,5,0.00858,0.000281,0.0001582,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
18475,601,2020.07.24,312,5,0.00872,0.000284,0.0001473,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
18788,607,2020.07.25,313,6,0.00887,0.000287,0.0001478,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
19042,614,2020.07.26,254,7,0.00899,0.00029,0.00012,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
19502,619,2020.07.27,460,5,0.00921,0.000292,0.0002172,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
19791,626,2020.07.28,289,7,0.00935,0.000296,0.0001365,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
20136,632,2020.07.29,345,6,0.00951,0.000298,0.0001629,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
20388,635,2020.07.30,252,3,0.00963,0.0003,0.000119,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
20600,642,2020.07.31,212,7,0.00973,0.000303,0.0001001,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
20796,651,2020.08.01,196,9,0.00982,0.000307,9.26e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21016,654,2020.08.02,220,3,0.00992,0.000309,0.0001039,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21130,655,2020.08.03,114,1,0.00998,0.000309,5.38e-05,5e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21340,658,2020.08.04,210,3,0.01008,0.000311,9.92e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21566,667,2020.08.05,226,9,0.01018,0.000315,0.0001067,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21773,669,2020.08.06,207,2,0.01028,0.000316,9.78e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
21965,675,2020.08.07,192,6,0.01037,0.000319,9.07e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22115,681,2020.08.08,150,6,0.01044,0.000322,7.08e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22315,685,2020.08.09,200,4,0.01054,0.000323,9.45e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22444,690,2020.08.10,129,5,0.0106,0.000326,6.09e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22643,693,2020.08.11,199,3,0.01069,0.000327,9.4e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22816,695,2020.08.12,173,2,0.01077,0.000328,8.17e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
22987,697,2020.08.13,171,2,0.01086,0.000329,8.08e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23160,703,2020.08.14,173,6,0.01094,0.000332,8.17e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23302,711,2020.08.15,142,8,0.011,0.000336,6.71e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23408,714,2020.08.16,106,3,0.01105,0.000337,5.01e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23500,718,2020.08.17,92,4,0.0111,0.000339,4.34e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23579,723,2020.08.18,79,5,0.01114,0.000341,3.73e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23749,729,2020.08.19,170,6,0.01122,0.000344,8.03e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
23951,734,2020.08.20,202,5,0.01131,0.000347,9.54e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24095,739,2020.08.21,144,5,0.01138,0.000349,6.8e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24302,743,2020.08.22,207,4,0.01148,0.000351,9.78e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24396,745,2020.08.23,94,2,0.01152,0.000352,4.44e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24542,749,2020.08.24,146,4,0.01159,0.000354,6.89e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24606,752,2020.08.25,64,3,0.01162,0.000355,3.02e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24732,755,2020.08.26,126,3,0.01168,0.000357,5.95e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
24920,764,2020.08.27,188,9,0.01177,0.000361,8.88e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25042,767,2020.08.28,122,3,0.01183,0.000362,5.76e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25178,769,2020.08.29,136,2,0.01189,0.000363,6.42e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25283,770,2020.08.30,105,1,0.01194,0.000364,4.96e-05,5e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25352,779,2020.08.31,69,9,0.01197,0.000368,3.26e-05,4.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25460,787,2020.09.01,108,8,0.01202,0.000372,5.1e-05,3.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25612,790,2020.09.02,152,3,0.0121,0.000373,7.18e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25812,791,2020.09.03,200,1,0.01219,0.000374,9.45e-05,5e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
25902,794,2020.09.04,90,3,0.01223,0.000375,4.25e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26048,800,2020.09.05,146,6,0.0123,0.000378,6.89e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26107,803,2020.09.06,59,3,0.01233,0.000379,2.79e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26144,807,2020.09.07,37,4,0.01235,0.000381,1.75e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26181,807,2020.09.08,37,0,0.01236,0.000381,1.75e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26268,813,2020.09.09,87,6,0.01241,0.000384,4.11e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26429,816,2020.09.10,161,3,0.01248,0.000385,7.6e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26563,818,2020.09.11,134,2,0.01254,0.000386,6.33e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26661,821,2020.09.12,98,3,0.01259,0.000388,4.63e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26761,823,2020.09.13,100,2,0.01264,0.000389,4.72e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26842,823,2020.09.14,81,0,0.01268,0.000389,3.83e-05,0.0,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
26923,830,2020.09.15,81,7,0.01271,0.000392,3.83e-05,3.3e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27041,832,2020.09.16,118,2,0.01277,0.000393,5.57e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27199,836,2020.09.17,158,4,0.01284,0.000395,7.46e-05,1.9e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27350,841,2020.09.18,151,5,0.01292,0.000397,7.13e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27512,847,2020.09.19,162,6,0.01299,0.0004,7.65e-05,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27579,849,2020.09.20,67,2,0.01302,0.000401,3.16e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27683,851,2020.09.21,104,2,0.01307,0.000402,4.91e-05,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27790,854,2020.09.22,107,3,0.01312,0.000403,5.05e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
27987,857,2020.09.23,197,3,0.01322,0.000405,9.3e-05,1.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
28224,859,2020.09.24,237,2,0.01333,0.000406,0.0001119,9e-07,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
28487,865,2020.09.25,263,6,0.01345,0.000408,0.0001242,2.8e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
28692,870,2020.09.26,205,5,0.01355,0.000411,9.68e-05,2.4e-06,51945,2117522,269712,Democratic,Democratic,Democratic,Democratic,7.85
